Date,Time,Team1,Team2,Score,Type,Temperature,Wind
"2022-11-20","19:00","Qatar","Ecuador","0-2","Group Stage","75F","12mph"
"2022-11-21","19:00","Senegal","Netherlands","0-2","Group Stage","75F","8mph"
"2022-11-25","16:00","Qatar","Senegal","1-3","Group Stage","81F","9mph"
"2022-11-25","19:00","Netherlands","Ecuador","1-1","Group Stage","79F","5mph"
"2022-11-29","18:00","Ecuador","Senegal","1-2","Group Stage","79F","2mph"
"2022-11-29","18:00","Netherlands","Qatar","2-0","Group Stage","79F","2mph"
"2022-11-21","16:00","England","Iran","6-2","Group Stage","79F","12mph"
"2022-11-21","22:00","United States","Wales","1-1","Group Stage","73F","5mph"
"2022-11-25","13:00","Wales","Iran","0-2","Group Stage","84F","10mph"
"2022-11-25","22:00","England","United States","0-0","Group Stage","75F","2mph"
"2022-11-29","22:00","Wales","England","0-3","Group Stage","75F","1mph"
"2022-11-29","22:00","Iran","United States","0-1","Group Stage","75F","1mph"
"2022-11-22","13:00","Argentina","Saudi Arabia","1-2","Group Stage","81F","5mph"
"2022-11-22","19:00","Mexico","Poland","0-0","Group Stage","75F","7mph"
"2022-11-26","16:00","Poland","Saudi Arabia","2-0","Group Stage","82F","5mph"
"2022-11-26","22:00","Argentina","Mexico","2-0","Group Stage","77F","2mph"
"2022-11-30","22:00","Poland","Argentina","0-2","Group Stage","77F","3mph"
"2022-11-30","22:00","Saudi Arabia","Mexico","1-2","Group Stage","77F","3mph"
"2022-11-22","16:00","Denmark","Tunisia","0-0","Group Stage","79F","5mph"
"2022-11-22","22:00","France","Australia","4-1","Group Stage","75F","2mph"
"2022-11-26","13:00","Tunisia","Australia","0-1","Group Stage","88F","7mph"
"2022-11-26","19:00","France","Denmark","2-1","Group Stage","79F","2mph"
"2022-11-30","18:00","Australia","Denmark","1-0","Group Stage","79F","7mph"
"2022-11-30","18:00","Tunisia","France","1-0","Group Stage","79F","7mph"
"2022-11-23","16:00","Germany","Japan","1-2","Group Stage","79F","7mph"
"2022-11-23","19:00","Spain","Costa Rica","7-0","Group Stage","75F","5pmh"
"2022-11-27","13:00","Japan","Costa Rica","0-1","Group Stage","90F","13mph"
"2022-11-27","22:00","Spain","Germany","1-1","Group Stage","79F","3mph"
"2022-12-01","22:00","Japan","Spain","2-1","Group Stage","77F","5mph"
"2022-12-01","22:00","Costa Rica","Germany","2-4","Group Stage","77F","5pmh"
"2022-11-23","13:00","Morocco","Croatia","0-0","Group Stage","81F","6pmh"
"2022-11-23","22:00","Belgium","Canada","1-0","Group Stage","75F","2mph"
"2022-11-27","16:00","Belgium","Morocco","0-2","Group Stage","86F","10mph"
"2022-11-27","19:00","Croatia","Canada","4-1","Group Stage","82F","7mph"
"2022-12-01","18:00","Croatia","Belgium","0-0","Group Stage","79F","5mph"
"2022-12-01","18:00","Canada","Morocco","1-2","Group Stage","79F","5mph"
"2022-11-24","13:00","Switzerland","Cameroon","1-0","Group Stage","82F","3mph"
"2022-11-24","22:00","Brazil","Serbia","2-0","Group Stage","75F","3mph"
"2022-11-28","13:00","Cameroon","Serbia","3-3","Group Stage","90F","18mph"
"2022-11-28","19:00","Brazil","Switzerland","1-0","Group Stage","79F","13mph"
"2022-12-02","22:00","Serbia","Switzerland","2-3","Group Stage","77F","5mph"
"2022-12-02","22:00","Cameroon","Brazil","1-0","Group Stage","77F","5mph"
"2022-11-24","16:00","Uruguay","South Korea,"0-0","Group Stage","79F","6mph"
"2022-11-24","19:00","Portugal","Ghana","3-2","Group Stage","75F","0mph"
"2022-11-28","16:00","South Korea","Ghana","2-3","Group Stage","84F","10mph"
"2022-11-28","22:00","Portugal","Uruguay","2-0","Group Stage","77F","10mph"
"2022-12-02","18:00","Ghana,"Uruguay","0-2","Group Stage","79F","5mph"
"2022-12-02","18:00","South Korea","Portugal","2-1","Group Stage","79F","5mph"
"2022-12-03","18:00","Netherlands","United States","3-1","Round of 16","79F","8mph"
"2022-12-03","22:00","Argentina","Australia","2-1","Round of 16","77F","6mph"
"2022-12-04","18:00","France","Poland","3-1","Round of 16","79F","7mph"
"2022-12-04","22:00","England","Senegal","3-0","Round of 16","77F","1mph"
"2022-12-05","18:00","Japan","Croatia","1-1(3-1 pen)","Round of 16","79F","5mph"
"2022-12-05","22:00","Brazil","South Korea","4-1","Round of 16","77F","6mph"
"2022-12-06","18:00","Morocco","Spain","0-0(3-0 pen)","Round of 16","77F","6mph"
"2022-12-06","22:00","Portugal","Switzerland","6-1","Round of 16","77F","6mph"
"2022-12-09","18:00","Croatia","Brazil","1-1(4-2 pen)","Quarter-finals","73F","12mph"
"2022-12-09","22:00","Netherlands","Argentina","2-2(4-3 pen)","Quarter-finals","72F","7mph"
"2022-12-10","18:00","Morocco","Portugal","1-0","Quarter-finals","70F","9mph"
"2022-12-10","22:00","England","France","1-2","Quarter-finals","68F","10mph"
"2022-12-13","22:00","Argentina","Croatia","3-0","Semi-finals","70F","3mph"
"2022-12-14","22:00","France","Morocco","2-0","Semi-finals","70F","2mph"
"2022-12-17","18:00","Croatia","Morocco","2-1","Match for third place","73F","9mph"
"2022-12-18","18:00","Argentina","France","3-3(4-2 pen)","Final","72F","12mph"
